comment_id,video_id,video_title,comment,cleaned_comment,processed_comment
108,TcMBFSGVi1c,Avengers Endgame Trailer,“It seems like a thousand years ago” well said Tony. Well said.,it seems like a thousand years ago well said tony well said,seems like thousand year ago well said tony well said
109,TcMBFSGVi1c,Avengers Endgame Trailer,All three we lost said “Whatever it takes” here 😢,all three we lost said whatever it takes here ,three lost said whatever take
110,TcMBFSGVi1c,Avengers Endgame Trailer,I like this one.,i like this one,like one
111,TcMBFSGVi1c,Avengers Endgame Trailer,Billionaire,billionaire,billionaire
112,TcMBFSGVi1c,Avengers Endgame Trailer,Who else saw this and thought it was doomsday?,who else saw this and thought it was doomsday,else saw thought doomsday
113,TcMBFSGVi1c,Avengers Endgame Trailer,Robert D.J we Will return in Avengers doosmday,robert dj we will return in avengers doosmday,robert dj return avenger doosmday
114,TcMBFSGVi1c,Avengers Endgame Trailer,God this trailer wash trash lowkey,god this trailer wash trash lowkey,god trailer wash trash lowkey
115,TcMBFSGVi1c,Avengers Endgame Trailer,"Super advanced men, maybe genetically and bio enhanced humans fighting against a “god.” I see the Bible coming to life here. It is amazing how the average man wont accept the existence of the Lord Jesus Christ and His Word, but even movie creators know what is up and what is coming.",super advanced men maybe genetically and bio enhanced humans fighting against a god i see the bible coming to life here it is amazing how the average man wont accept the existence of the lord jesus christ and his word but even movie creators know what is up and what is coming,super advanced men maybe genetically bio enhanced human fighting god see bible coming life amazing average man wont accept existence lord jesus christ word even movie creator know coming
116,TcMBFSGVi1c,Avengers Endgame Trailer,This trailer haunts me thinking about the world we live in now…. It’s just not the same anymore,this trailer haunts me thinking about the world we live in now its just not the same anymore,trailer haunt thinking world live not anymore
117,TcMBFSGVi1c,Avengers Endgame Trailer,"The cinematic event of an entire generation.
Cinema never reached this height ever again.
Except for Avatar...","the cinematic event of an entire generation
cinema never reached this height ever again
except for avatar",cinematic event entire generation cinema never reached height ever except avatar
118,TcMBFSGVi1c,Avengers Endgame Trailer,1:57 AVENGERS ENDGAME, avengers endgame,avenger endgame
119,TcMBFSGVi1c,Avengers Endgame Trailer,i thoguth it was doomsday trailer until i saw the title cuz it was on my fyp,i thoguth it was doomsday trailer until i saw the title cuz it was on my fyp,thoguth doomsday trailer saw title cuz fyp
120,TcMBFSGVi1c,Avengers Endgame Trailer,"17th January 2026
11 months to Doomsday","th january 
 months to doomsday",th january month doomsday
121,TcMBFSGVi1c,Avengers Endgame Trailer,"Will miss you Toni. The cold billionaire we saw at first sight, Ended up saving the world at the cost of his life leaving behind his everything, Family and all. Love and miss you 3000❤️ in Doomsday will miss you man!!!",will miss you toni the cold billionaire we saw at first sight ended up saving the world at the cost of his life leaving behind his everything family and all love and miss you  in doomsday will miss you man,miss toni cold billionaire saw first sight ended saving world cost life leaving behind everything family love miss doomsday miss man
122,TcMBFSGVi1c,Avengers Endgame Trailer,This was peak Marvel. I don't think anything can top Avengers Infinity War and Avengers Endgame.,this was peak marvel i do not think anything can top avengers infinity war and avengers endgame,peak marvel not think anything top avenger infinity war avenger endgame
123,TcMBFSGVi1c,Avengers Endgame Trailer,"2019: omg we can’t wait for endgame 

2026: omg we can’t wait for doomsday"," omg we cant wait for endgame 

 omg we cant wait for doomsday",omg cant wait endgame omg cant wait doomsday
124,TcMBFSGVi1c,Avengers Endgame Trailer,this trailer still gives me goosebumps!!!🗣️ HOLY hell doomsday is going to be crazy,this trailer still gives me goosebumps holy hell doomsday is going to be crazy,trailer still give goosebump holy hell doomsday going crazy
125,TcMBFSGVi1c,Avengers Endgame Trailer,We're in the endgame now,were in the endgame now,endgame
126,TcMBFSGVi1c,Avengers Endgame Trailer,❤still in my heart.......,still in my heart,still heart
127,TcMBFSGVi1c,Avengers Endgame Trailer,The climactic experience this was. THIS IS CINEMA!,the climactic experience this was this is cinema,climactic experience cinema
128,TcMBFSGVi1c,Avengers Endgame Trailer,It's hard to believe that this trailer almost 6 years old 😢❤,it is hard to believe that this trailer almost  years old ,hard believe trailer almost year old
129,TcMBFSGVi1c,Avengers Endgame Trailer,Youtube recommend 6 years ago teaser...,youtube recommend  years ago teaser,youtube recommend year ago teaser
130,TcMBFSGVi1c,Avengers Endgame Trailer,Who's here after wakandan's teaser ❤🎉,whos here after wakandans teaser ,who wakandans teaser
131,TcMBFSGVi1c,Avengers Endgame Trailer,Who all are waiting for Avengers Doomsday trailer 👇🔥,who all are waiting for avengers doomsday trailer ,waiting avenger doomsday trailer
132,TcMBFSGVi1c,Avengers Endgame Trailer,Anyone today,anyone today,anyone today
133,TcMBFSGVi1c,Avengers Endgame Trailer,idk if it’s just me but this doesn’t seem like a marvel trailer. it just doesn’t make sense,idk if its just me but this doesnt seem like a marvel trailer it just doesnt make sense,idk doesnt seem like marvel trailer doesnt make sense
134,TcMBFSGVi1c,Avengers Endgame Trailer,6 years....., years,year
135,TcMBFSGVi1c,Avengers Endgame Trailer,7 years ago seems wild, years ago seems wild,year ago seems wild
136,TcMBFSGVi1c,Avengers Endgame Trailer,Any body here 2026..?,any body here ,body
137,TcMBFSGVi1c,Avengers Endgame Trailer,This is the times when marvel still have it's charm,this is the times when marvel still have it is charm,time marvel still charm
138,TcMBFSGVi1c,Avengers Endgame Trailer,"Is it just me, or did tbey go back an eisit the trailers? I remember when they first came out, they didn't even give us the title, it juat said ""Avengers""",is it just me or did tbey go back an eisit the trailers i remember when they first came out they did not even give us the title it juat said avengers,tbey go back eisit trailer remember first came not even give u title juat said avenger
